Student,Gender,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21
189,female,6.333333333,-0.166666667,8.833333333,-0.166666667,5.166666667,7.166666667,6,6.333333333,7.833333333,8,23,6.833333333,6.833333333,6.333333333,6.333333333,9.833333333,7.666666667,7,7.5,8.5,7.5
190,female,9.75,8.25,9.4,6.2167,9.583296667,9.599996667,7.966666667,7.833303333,7.666666667,8.916666667,8.416666667,7.1667,8.15,7,7.25,7.666666667,7.333333333,8.25,8.416666667,8.75,8.75
191,female,6.833333333,6.499966667,8.133333333,7,7.366666667,7.2167,9.1667,8.666666667,7.85,8.466633333,7.349966667,8.016666667,8.29997,7.750033333,9.15,7.799966667,8.8333,7.749966667,7.7833,8.250003333,7.3167
192,female,9.616633333,5.583366667,10.8,7.666663333,9.166666667,6.500036667,10.05,5.583366667,8.3833,7.366666667,8.233,4.833333333,10.55003333,6.3,6.9667,7.533366667,11.66666667,7.450033333,4.0167,10.48336667,4.383333333
193,male,7.433333333,5.266666667,8.566366667,5.2833,10.1833,8.9503,8.649996667,5.13337,9.216667,7.6167,7.599966667,9.6,7.900033333,8.35,7.066633333,9.4167,9.983,7.533366667,6.9833,8.7997,6.35
194,female,4.833333333,5.833333333,9.75003,7.833333333,9.75003,5.683366667,3.5,9.916666667,3.833333333,9.833003333,9.583003333,6.6,1.833333333,7.75,3.916666667,5.833333333,9.75,5.916666667,6.916666667,7.916666667,6
195,female,7.0833,7,9,8.916666667,6.916666667,6,3.833333333,5.833333333,5.75,7.416666667,6.166666667,8.416666667,7.666666667,5.916666667,8.25,4.5,7.333333333,6,6.666666667,7,6.333333333
196,female,21.9163,10,9,8,9,12,6,6,12,9,10.33333333,10.66666667,11,9.333333333,17,13,7,6,7,12,11
197,male,7.5,12.41666667,7.75,8.2833,7.966633333,5.3333,8.0333,4.5,11.91666667,8.833333333,8,4.6667,7.833333333,9.5,6.333333333,12,8.000033333,3.333333333,8.5,6.833333333,8.666666667
198,female,13.2666,7.85,6.85,5.100033333,10.66666667,6.416633333,9.083333333,6.75,8,11.58333333,11.56663333,12.66666667,4.75,10.25,9.4167,8.083333333,13,9.083333333,6.600033333,7.183333333,5.166666667
199,male,6.75,7.616666667,4.3,7.783333333,8.916666667,7.616666667,4.25,9.5,8.933333333,4.433333333,8.5,6,11.43333333,5.416666667,6.916666667,6.2,6.966666667,3.916666667,11.03333333,5.433333333,4.466666667
200,female,9.833333333,8.833333333,8.833333333,8.833333333,5.25,7.333333333,9.666633333,9.916666667,9.083333333,7.333333333,7.5,9.800333333,9.833333333,8.833333333,10.58333333,7.833333333,7.716633333,8.500033333,6.666666667,10.33333333,7.416666667
201,male,8,6.333333333,8.833333333,8,4,7.5,6.5,10.66666667,7,9,9,7.75,8.916666667,9.25,5.833333333,8.083333333,7.75,8.833333333,8.5,7,7.5
202,female,7.499963333,10.31666667,6.416636667,5.716733333,6.583366667,7.366666667,9.25,10.83333333,2.916633333,5.916633333,10.99966333,7.8333,11.78363333,10.16666667,6.633333333,6.7337,5.166633333,5.499966667,3.750033333,6.633333333,7.849966667
203,female,5.966633333,10.36633333,8.667,7.133333333,5.233333333,6.83333,6.216666667,7.75,8.499966667,6.349966667,3.8,6.1333,5.75,6.966666667,9.40033,10.91667,7.633366667,9.466663333,7.7167,8.8,5.516733333
204,female,7.4333,9.7333,7.5,9.4833,3.65,8.1167,7.5167,7.15,8.5,8.48333,8.48333,5.7167,6.33333,5.7833,9.4833,9.64967,8.3333,8.4167,6.11667,6.81667,8.3003
205,male,6.083366667,6.500033333,7.666666667,7.083366667,5.5,6.4166,6.75,6.9167,3.9166,8.75,7.167,8.25,4.5833,6.8334,6.6667,7.4167,8.4163,2.4167,6.3333,5.3333,5.8333
206,male,9.866666667,9.8,8.916666667,6.95,5.866666667,9.9,10.93333333,10.83333333,6.816666667,5.716666667,5.75,10.86666667,10.91666667,6.833333333,5.9,5.85,9.783333333,7.833333333,6.8,10.93333333,10.9
207,female,7.3,7.516666667,10.83333333,6.249933333,5.4,6.583333333,6.766666667,5.25,6.0166,9.816666667,8.800003333,8.25,9.766666667,6.766666667,8.466666667,9.833333333,7.566663333,6.75,7.9,7.75,6.816666667
208,male,7.766733333,7.583366667,10.66666667,10.25003333,8.583333333,9.749933333,9.666666667,7.75,8.166666667,9.916666667,7.916733333,7.666666667,7.499966667,9.416633333,9.4167,9.0833,8.75,9.499966667,9.416666667,9.250033333,8.75
209,female,6.916666667,10,9,9,10,8,8,9.33333,5.6667,10.83333,11.5,10.5,6,7,6.916666667,8.5,9.5,8.916666667,8.66667,7.41667,8
210,female,5.000066667,9.416666667,7.75,7.8333,2.583366667,4.916666667,6,2.8333,10.08333333,10.33333333,12.16633333,9.583333333,5.083333333,7.833333333,8.3333,10.66666667,9.083333333,8.166666667,10.58333333,4.916666667,6
211,male,11.66666667,11.66666667,11.25,9.666666667,4.583333333,10.5,5.833333333,12.33333333,11.33333333,5.333333333,9.75,11.08333333,13.25,6.75,11.83333333,7.833333333,12.08333333,12.41666667,12.16666667,7.75,5.916666667
212,female,7,8.666666667,5.25,6.5,6.333333333,4.333333333,10.25,6.833333333,6.583333333,8.583333333,11.83333333,13.83333333,6.833333333,7,6.333333333,8.5,7.833333333,5.833333333,4.333333333,4.75,8.833333333
213,male,6.9333,8.5333,7.7167,7.46667,7.13333,6.4,7.05,7.2167,9.4667,7.2667,9.68337,1.9834,5.9167,6.83337,6.16667,6.8,7.4,5.78333,9.2,5.7833,7.1333
214,female,6.666666667,7.8333,2.666633333,10.25003333,8.166733333,5.833333333,9.167,6.583333333,10.583,8.333,5.083266667,8.117033333,7.416663333,8.33333,8.000003333,12.00000333,9.500333333,9.500333333,5.83333,6.333333333,5.333333333
215,female,5.449966667,9.1503,3.216633333,5.6834,9.8167,7.099666667,8.05,7.383333333,9.21667,7.533666667,8.7,5.083333333,5.066633333,4.066733333,6.3833,8.6003,7.283,6.9997,8.25,5.9663,6.916666667
216,female,7.25,7.416666667,7.166666667,8.833333333,6.416666667,6.416666667,6.916666667,6.916666667,9.133336667,3.783333333,4.216633333,4.316633333,6.249996667,6.299996667,8.666666667,6.999999667,5.383366667,7.449996667,7.299996667,5.533366667,5.833366667
217,male,4.916666667,5.416666667,4.216666667,5.966666667,5.383366667,5.350003333,5.350003333,6.95,9.45,7.916666667,9.416666667,6.916666667,6.716666667,9.716666667,6.916666667,6.966666667,5.95,3.916666667,7.916666667,5.916666667,5.933333333
218,female,6.5,7,7.75,7.03333,7.916666667,4.6167,7.166666667,7.5,8.033336667,7.166666667,5.416666667,8.75,7.583336667,6.666666667,6.999999667,7.75,7.533336667,8.416666667,4.999966667,7.416666667,7.083336667
